amplitude,beyond1std,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,linear_trend,max_slope,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,percent_amplitude,percent_difference_flux_percentile,skew,small_kurtosis,std,stetson_j,stetson_k,ls,class
1132064055750,0.3405,0.341836734694,0.210280530329,0.343295442727,0.524330631641,0.683756636924,0.878021342675,3.96151249639e-05,1004.09835009,0.1135,1.0,-0.172413793103,0.212271278349,0.425199348414,0.659768402519,-0.417146413433,0.159449341364,2.05886095659,0.828185999177,0.246198443851,1
1135062007014,1.043,0.247422680412,0.149298334071,0.238405661475,0.336747631452,0.463889800586,0.648188656444,0.000156975605275,316.064956897,0.217,1.0,0.310344827586,2.05632828037,1.13476354302,-0.157606955348,1.03277046316,0.354671951255,0.387740999891,0.729892394569,1.05329357393,1
1132064055203,0.341,0.147186147186,0.0979440659752,0.179813153157,0.264389370848,0.402396132875,0.589699272095,-6.0204268727e-05,859.802827335,0.042,1.0,-0.0344827586207,0.13972480402,0.300651412243,2.20529556091,6.28241496111,0.111634854484,5.80723723686,0.702046109738,24.9247916775,1
1138060042550,0.225,0.367441860465,0.228485967445,0.391043015328,0.533597382372,0.652916317482,0.830458744933,3.5103095603e-06,99.73404184,0.08,1.0,-0.172413793103,0.230268770812,0.274566231082,-0.0703605331002,-0.866633983663,0.0951993189572,1.5705208471,0.842866754449,0.202371721311,1
1140057029226,0.722,0.240343347639,0.167673063716,0.369927252643,0.52845464467,0.757732239096,0.942129415039,2.7101972326e-05,79.8449902505,0.136,1.0,-0.0344827586207,1.18574754869,0.540151683192,0.479740829506,0.161398490401,0.234080601448,3.02851162566,0.856331923552,0.190567482614,1
1140057018735,0.798,0.270042194093,0.133863748019,0.224787024236,0.338075226023,0.500389482804,0.703207752664,4.18364363359e-06,3206.70373745,0.152,1.0,-0.103448275862,0.715536647728,0.828359229804,0.642589056704,1.19973858923,0.268664775765,0.559558485896,0.732219276576,0.682509805364,1
1143055044428,0.903,0.275,0.183518307882,0.275913625968,0.378730638779,0.552672953532,0.728447286007,-4.5709558459e-05,88.7933244521,0.196,1.0,0.0344827586207,0.826410276692,0.890777553832,0.846216238873,1.03137102556,0.326303004545,0.474045840393,0.801587121546,0.268340078245,1
1143055050920,0.1765,0.362790697674,0.227149417221,0.372672604771,0.518062345661,0.667698927092,0.830930958453,-2.35459637842e-05,8.04723727785,0.062,1.0,0.0344827586207,0.125122992966,0.228189913848,0.458551802569,-0.602497685864,0.082487028136,4.15904022581,0.852459520775,0.187320947614,1
1004074042474,0.3735,0.295321637427,0.246479315897,0.41375158512,0.558230302016,0.701525756275,0.834181403922,2.15189549653e-05,1828.25529732,0.082,1.0,-0.172413793103,0.295387839534,0.28274652067,0.761147187417,0.825853802932,0.111350840645,8.50670905756,0.816276556705,0.203216382734,1
1104061051858,0.2765,0.325463743676,0.201452964825,0.362067369347,0.558364726742,0.727260372976,0.882799443898,-4.42544923509e-05,302.547745394,0.094,1.0,-0.172413793103,0.175980174066,0.364493881761,0.628331850223,-0.763347930483,0.139485761731,6.56484821324,0.844824975708,0.122944744379,1
1152047048683,0.227,0.359813084112,0.276816731077,0.404578291566,0.54319375246,0.677160825752,0.845143486246,2.21038853469e-05,12.5139180576,0.0825,1.0,-0.103448275862,0.186313808463,0.292049289251,0.348444441224,-0.928849688406,0.105882918961,3.80965802314,0.854679840618,0.188332120872,1
1155044037400,0.4575,0.358490566038,0.211614574163,0.360612635356,0.502573558747,0.683839307338,0.874553318201,-6.23670635777e-06,35.2398144955,0.149,1.0,0.172413793103,0.419711021782,0.549517264186,0.207190368595,-0.527140385542,0.197254705927,24.1109017038,0.800120227402,0.557332309346,1
1155044037542,0.6435,0.244131455399,0.136566863328,0.255106495299,0.455241593885,0.635895061173,0.825501278569,5.33883600934e-05,385.574212496,0.127,1.0,0.310344827586,0.390592875465,0.632641692892,1.06325412686,0.624106023084,0.255216749605,1.13744581718,0.827154991664,0.192496063717,1
1166032027172,0.1925,0.205263157895,0.152990625891,0.300486379909,0.441136947544,0.567963678774,0.818107659883,1.21164868542e-05,15.03601651,0.046,1.0,0.103448275862,0.141300359193,0.221486547962,0.944003415029,0.156439579787,0.0789955588008,3.99412843528,0.846264304546,0.28550365012,1
1107073032377,0.605,0.268774703557,0.139514143316,0.283121549018,0.424661757869,0.594839109304,0.786357240276,2.29028900795e-05,77.8096863903,0.113,1.0,-0.0344827586207,0.59074292375,0.490086466772,0.685551506304,1.20995659359,0.180046809205,0.285124728987,0.812046636764,0.158977075945,1
1109073009708,0.196,0.351111111111,0.202217672533,0.358334507073,0.622012306221,0.798067064523,0.888666433656,2.76496210324e-05,15.3557702957,0.066,1.0,0.0,0.119953522385,0.264224860605,0.557930559814,-0.95460182339,0.104296775041,2.65112787248,0.854254286868,0.189275125163,1
1107074030499,0.871,0.26724137931,0.130809319473,0.276233197699,0.394115653684,0.584574038307,0.816228709594,-4.03769950214e-06,23.6358503351,0.196,1.0,-0.103448275862,0.603983882508,0.936612904133,0.917727034402,1.93524805041,0.320789290696,54.134313685,0.759760562165,0.872737211505,1
1107073039098,1.334,0.138461538462,0.0475272048987,0.0784736491169,0.111431914701,0.331605025711,0.598862000594,-0.000118886031534,152241.365968,0.032,0.988461538462,0.103448275862,0.0894316796591,0.607570504991,3.54940879149,16.0801500723,0.332736435402,6.98010795847,0.916125053048,0.498680985018,1
1107074047597,0.686,0.265306122449,0.133351076383,0.2811231693,0.351250575593,0.522596858546,0.749223921904,0.000130840087882,67.0168962992,0.15,1.0,0.0689655172414,0.841619903525,0.765155227461,0.19085680214,1.01285698735,0.261920452043,0.167179739881,0.735256573755,0.94969852938,1
1004074006065,0.3445,0.301343570058,0.174900618003,0.310145523786,0.43344422506,0.612838512581,0.795887746736,2.0275446537e-05,449.438206252,0.067,1.0,-0.0344827586207,0.345240705149,0.283872195815,0.187043048645,0.127265721003,0.0988845340546,1.78905511436,0.756121955344,0.192518615895,1
1007074039856,0.2475,0.30081300813,0.122135013264,0.232716388977,0.36509559251,0.525415781325,0.790519722705,-3.51058946852e-05,80.8229224518,0.053,1.0,-0.0689655172414,0.141826189548,0.268181368142,0.985195867564,1.15250946244,0.0922833656641,8.11098209121,0.750550018511,0.195298225915,1
1109073027919,0.691,0.303571428571,0.124824073068,0.248455145817,0.449952935892,0.673391365914,0.862703614135,2.20631046404e-05,72.7896611955,0.1845,1.0,-0.0344827586207,0.508689799272,0.747531446951,0.66375797814,-0.0528742587527,0.279276488383,0.647391420341,0.784323947809,0.19738773362,1
